tv_show,season,episode,title,rating,votes,release_date
Breaking Bad,4,12,End Times,9.5,37448,2011-10-02
Breaking Bad,4,13,Face Off,9.9,87725,2011-10-09
Breaking Bad,5,1,Live Free or Die,9.2,38292,2012-07-15
Breaking Bad,5,2,Madrigal,8.8,33564,2012-07-22
Breaking Bad,5,3,Hazard Pay,8.8,32946,2012-07-29
Breaking Bad,5,4,Fifty-One,8.8,33181,2012-08-05
Breaking Bad,5,5,Dead Freight,9.7,48146,2012-08-12
Breaking Bad,5,6,Buyout,9.0,33905,2012-08-19
Breaking Bad,5,7,Say My Name,9.6,44751,2012-08-26
Breaking Bad,5,8,Gliding Over All,9.6,42420,2012-09-02
Breaking Bad,5,9,Blood Money,9.4,40409,2013-08-11
Breaking Bad,5,10,Buried,9.2,36397,2013-08-18
Breaking Bad,5,11,Confessions,9.6,43877,2013-08-25
Breaking Bad,5,12,Rabid Dog,9.1,37953,2013-09-01
Breaking Bad,5,13,To'hajiilee,9.8,64961,2013-09-08
Breaking Bad,5,14,Ozymandias,10.0,253620,2013-09-15
Breaking Bad,5,15,Granite State,9.7,63508,2013-09-22
Breaking Bad,5,16,Felina,9.9,161560,2013-09-29
Planet Earth II,1,1,Islands,9.3,6871,2016-11-06
Planet Earth II,1,2,Mountains,9.1,4075,2016-11-13
Planet Earth II,1,3,Jungles,8.9,3621,2016-11-20
Planet Earth II,1,4,Deserts,8.8,3241,2016-11-27
Planet Earth II,1,5,Grasslands,8.7,2994,2016-12-04
Planet Earth II,1,6,Cities,9.0,3161,2016-12-11
Planet Earth,1,1,From Pole to Pole,9.0,4350,2006-05-07
Planet Earth,1,2,Mountains,8.8,3747,2006-10-01
Planet Earth,1,3,Fresh Water,8.8,3435,2006-05-08
Planet Earth,1,4,Caves,8.7,3327,2006-05-09
Planet Earth,1,5,Deserts,8.6,3166,2006-05-10
Planet Earth,1,6,Ice Worlds,8.9,3114,2007-01-07
Planet Earth,1,7,Great Plains,8.6,2926,2007-04-08
Planet Earth,1,8,Jungles,8.9,3013,2007-01-14
Planet Earth,1,9,Shallow Seas,8.8,2885,2007-04-08
Planet Earth,1,10,Seasonal Forests,8.8,2777,2007-02-04
Planet Earth,1,11,Ocean Deep,8.9,2859,2007-02-11
Band of Brothers,1,1,Currahee,8.6,13267,2001-09-09
Band of Brothers,1,2,Day of Days,9.1,12265,2001-09-09
Band of Brothers,1,3,Carentan,9.0,11084,2001-09-16
Band of Brothers,1,4,Replacements,8.8,10408,2001-09-23
Band of Brothers,1,5,Crossroads,8.8,10199,2001-09-30
Band of Brothers,1,6,Bastogne,9.2,11656,2001-10-07
Band of Brothers,1,7,The Breaking Point,9.4,11221,2001-10-14
Band of Brothers,1,8,The Last Patrol,8.7,9423,2001-10-21
Band of Brothers,1,9,Why We Fight,9.5,12523,2001-10-28
Band of Brothers,1,10,Points,9.2,9703,2001-11-04
Chernobyl,1,1,1:23:45,9.4,59818,2019-05-10
Chernobyl,1,2,Please Remain Calm,9.6,55380,2019-05-13
Chernobyl,1,3,"Open Wide, O Earth",9.5,51755,2019-05-20
Chernobyl,1,4,The Happiness of All Mankind,9.3,48933,2019-05-27
Chernobyl,1,5,Vichnaya Pamyat,9.8,66334,2019-06-03
The Wire,1,1,The Target,7.8,9116,2002-06-02
The Wire,1,2,The Detail,8.2,7371,2002-06-09
The Wire,1,3,The Buys,8.1,6894,2002-06-16
The Wire,1,4,Old Cases,8.2,6670,2002-06-23
The Wire,1,5,The Pager,8.2,6378,2002-06-30
The Wire,1,6,The Wire,8.5,6548,2002-07-07
The Wire,1,7,One Arrest,8.4,6162,2002-07-21
The Wire,1,8,Lessons,8.5,6152,2002-07-28
The Wire,1,9,Game Day,8.7,6367,2002-08-04
The Wire,1,10,The Cost,9.2,7352,2002-08-11
The Wire,1,11,The Hunt,8.8,6313,2002-08-18
The Wire,1,12,Cleaning Up,9.1,6884,2002-09-01
The Wire,1,13,Sentencing,9.0,6702,2002-09-08
The Wire,2,1,Ebb Tide,7.7,5825,2003-06-01
The Wire,2,2,Collateral Damage,8.1,5424,2003-06-08
The Wire,2,3,Hot Shots,8.0,5263,2003-06-15
The Wire,2,4,Hard Cases,8.0,5173,2003-06-22
The Wire,2,5,Undertow,8.1,5074,2003-06-29
The Wire,2,6,All Prologue,8.8,5777,2003-07-06
The Wire,2,7,Backwash,8.2,5001,2003-07-13
The Wire,2,8,Duck and Cover,8.4,5063,2003-07-27
The Wire,2,9,Stray Rounds,8.5,5107,2003-08-03
The Wire,2,10,Storm Warnings,9.0,5727,2003-08-10
The Wire,2,11,Bad Dreams,9.2,6307,2003-08-17
The Wire,2,12,Port in a Storm,9.0,5867,2003-08-24
The Wire,3,1,Time After Time,8.0,4946,2004-09-19
The Wire,3,2,All Due Respect,8.3,4832,2004-09-26
The Wire,3,3,Dead Soldiers,8.3,4814,2004-10-03
The Wire,3,4,Amsterdam,8.3,4772,2004-10-10
The Wire,3,5,Straight and True,8.5,4765,2004-10-17
The Wire,3,6,Homecoming,8.6,4794,2004-10-31
The Wire,3,7,Back Burners,8.5,4667,2004-11-07
The Wire,3,8,Moral Midgetry,8.9,5224,2004-11-14
The Wire,3,9,Slapstick,8.7,4816,2004-11-21
The Wire,3,10,Reformation,8.7,4796,2004-11-28
The Wire,3,11,Middle Ground,9.6,8432,2004-12-12
The Wire,3,12,Mission Accomplished,9.3,6032,2004-12-19
The Wire,4,1,Boys of Summer,8.3,4788,2006-09-10
The Wire,4,2,Soft Eyes,8.4,4550,2006-09-17
The Wire,4,3,Home Rooms,8.6,4598,2006-09-24
The Wire,4,4,Refugees,8.3,4452,2006-10-01
The Wire,4,5,Alliances,8.5,4445,2006-10-08
The Wire,4,6,Margin of Error,8.7,4649,2006-10-15
The Wire,4,7,Unto Others,8.4,4384,2006-10-29
The Wire,4,8,Corner Boys,8.5,4457,2006-11-05
The Wire,4,9,Know Your Place,8.5,4386,2006-11-12
The Wire,4,10,Misgivings,8.8,4694,2006-11-19
The Wire,4,11,A New Day,8.9,4826,2006-11-26
The Wire,4,12,That's Got His Own,9.3,5632,2006-12-03
The Wire,4,13,Final Grades,9.5,7177,2006-12-10
The Wire,5,1,More with Less,8.0,4430,2008-01-06
The Wire,5,2,Unconfirmed Reports,8.1,4256,2008-01-13
The Wire,5,3,Not for Attribution,8.5,4346,2008-01-20
The Wire,5,4,Transitions,8.8,4537,2008-01-27
The Wire,5,5,React Quotes,8.6,4322,2008-02-03
The Wire,5,6,The Dickensian Aspect,8.3,4184,2008-02-10
The Wire,5,7,Took,8.4,4272,2008-02-17
The Wire,5,8,Clarifications,8.9,4917,2008-02-24
The Wire,5,9,Late Editions,9.3,5463,2008-03-02
The Wire,5,10,-30-,9.6,7830,2008-03-09
Avatar: The Last Airbender,1,1,The Boy in the Iceberg,7.9,7987,2005-09-23
Avatar: The Last Airbender,1,2,The Avatar Returns,8.1,7217,2005-02-21
Avatar: The Last Airbender,1,3,The Southern Air Temple,8.4,7076,2005-02-25
Avatar: The Last Airbender,1,4,The Warriors of Kyoshi,8.0,6876,2005-03-04
Avatar: The Last Airbender,1,5,The King of Omashu,8.0,6850,2005-03-18
Avatar: The Last Airbender,1,6,Imprisoned,7.8,6639,2005-03-25
Avatar: The Last Airbender,1,7,"The Spirit World (Winter Solstice, Part 1)",8.0,6457,2005-04-08
Avatar: The Last Airbender,1,8,"Avatar Roku (Winter Solstice, Part 2)",8.8,6970,2005-04-15
Avatar: The Last Airbender,1,9,The Waterbending Scroll,7.8,6317,2005-04-29
Avatar: The Last Airbender,1,10,Jet,7.6,6488,2005-05-06
Avatar: The Last Airbender,1,11,The Great Divide,6.8,6760,2005-05-20
Avatar: The Last Airbender,1,12,The Storm,9.0,7341,2005-06-03
Avatar: The Last Airbender,1,13,The Blue Spirit,9.1,7430,2005-06-17
Avatar: The Last Airbender,1,14,The Fortuneteller,7.7,6177,2005-09-23
Avatar: The Last Airbender,1,15,Bato of the Water Tribe,7.7,6091,2005-10-07
Avatar: The Last Airbender,1,16,The Deserter,8.4,6200,2005-10-21
Avatar: The Last Airbender,1,17,The Northern Air Temple,7.8,6018,2005-11-04
Avatar: The Last Airbender,1,18,The Waterbending Master,8.6,6222,2005-11-18
Avatar: The Last Airbender,1,19,"The Siege of the North, Part 1",9.3,7508,2005-12-02
Avatar: The Last Airbender,1,20,"The Siege of the North, Part 2",9.6,7438,2005-12-02
Avatar: The Last Airbender,2,1,The Avatar State,8.6,6189,2006-03-17
Avatar: The Last Airbender,2,2,The Cave of Two Lovers,8.1,6088,2006-03-24
Avatar: The Last Airbender,2,3,Return to Omashu,8.2,5756,2006-04-07
Avatar: The Last Airbender,2,4,The Swamp,7.5,5889,2006-04-14
Avatar: The Last Airbender,2,5,Avatar Day,7.3,5831,2006-04-28
Avatar: The Last Airbender,2,6,The Blind Bandit,9.1,7136,2006-05-05
Avatar: The Last Airbender,2,7,Zuko Alone,9.5,9138,2006-05-12
Avatar: The Last Airbender,2,8,The Chase,9.0,6475,2006-05-26
Avatar: The Last Airbender,2,9,Bitter Work,8.5,5893,2006-06-02
Avatar: The Last Airbender,2,10,The Library,8.7,6150,2006-07-14
Avatar: The Last Airbender,2,11,The Desert,8.7,5997,2006-07-14
Avatar: The Last Airbender,2,12,The Serpent's Pass,8.3,5637,2006-09-15
Avatar: The Last Airbender,2,13,The Drill,8.9,6166,2006-09-15
Avatar: The Last Airbender,2,14,City of Walls and Secrets,8.6,5861,2006-09-22
Avatar: The Last Airbender,2,15,The Tales of Ba Sing Se,9.3,8968,2006-09-29
Avatar: The Last Airbender,2,16,Appa's Lost Days,8.9,6450,2006-10-13
Avatar: The Last Airbender,2,17,Lake Laogai,9.1,6309,2006-11-03
Avatar: The Last Airbender,2,18,The Earth King,8.5,5620,2006-11-17
Avatar: The Last Airbender,2,19,The Guru,9.0,6337,2006-12-01
Avatar: The Last Airbender,2,20,The Crossroads of Destiny,9.6,8525,2006-12-01
Avatar: The Last Airbender,3,1,The Awakening,8.6,6114,2007-09-21
Avatar: The Last Airbender,3,2,The Headband,8.3,5964,2007-09-28
Avatar: The Last Airbender,3,3,The Painted Lady,7.8,5962,2007-10-05
Avatar: The Last Airbender,3,4,Sokka's Master,8.8,6376,2007-10-12
Avatar: The Last Airbender,3,5,The Beach,8.5,6564,2007-10-19
Avatar: The Last Airbender,3,6,The Avatar and the Fire Lord,9.5,7921,2007-10-26
Avatar: The Last Airbender,3,7,The Runaway,8.1,5637,2007-11-02
Avatar: The Last Airbender,3,8,The Puppetmaster,9.1,6984,2007-11-09
Avatar: The Last Airbender,3,9,Nightmares and Daydreams,7.6,5993,2007-11-16
Avatar: The Last Airbender,3,10,The Day of Black Sun,9.1,6389,2007-11-30
Avatar: The Last Airbender,3,11,"The Day of Black Sun, Part 2: The Eclipse",9.4,7020,2007-11-30
Avatar: The Last Airbender,3,12,The Western Air Temple,8.9,6197,2008-07-14
Avatar: The Last Airbender,3,13,The Firebending Masters,9.2,6993,2008-07-15
Avatar: The Last Airbender,3,14,The Boiling Rock: Part 1,8.6,5928,2008-07-16
Avatar: The Last Airbender,3,15,"The Boiling Rock, Part 2",9.2,6517,2008-07-16
Avatar: The Last Airbender,3,16,The Southern Raiders,8.9,6391,2008-07-17
Avatar: The Last Airbender,3,17,The Ember Island Players,8.5,6506,2008-07-18
Avatar: The Last Airbender,3,18,"Sozin's Comet, Part 1: The Phoenix King",9.0,7118,2008-07-19
Avatar: The Last Airbender,3,19,"Sozin's Comet, Part 2: The Old Masters",9.5,8031,2008-07-19
Avatar: The Last Airbender,3,20,"Sozin's Comet, Part 3: Into the Inferno",9.8,12264,2008-07-19
Avatar: The Last Airbender,3,21,"Sozin's Comet, Part 4: Avatar Aang",9.9,20453,2008-07-19
The Sopranos,1,1,Pilot,8.4,15151,2009-12-11
The Sopranos,1,2,46 Long,8.2,12025,1999-01-17
The Sopranos,1,3,"Denial, Anger, Acceptance",8.5,11648,1999-01-24
The Sopranos,1,4,Meadowlands,8.5,11251,1999-01-31
The Sopranos,1,5,College,8.9,12920,1999-02-07
The Sopranos,1,6,Pax Soprana,8.4,10682,1999-02-14
The Sopranos,1,7,Down Neck,8.3,10337,1999-02-21
The Sopranos,1,8,The Legend of Tennessee Moltisanti,8.5,10376,1999-02-28
The Sopranos,1,9,Boca,8.5,10217,1999-03-07
The Sopranos,1,10,A Hit Is a Hit,7.8,10227,1999-03-14
The Sopranos,1,11,Nobody Knows Anything,8.8,10191,1999-03-21
The Sopranos,1,12,Isabella,9.1,11348,1999-03-28
The Sopranos,1,13,I Dream of Jeannie Cusamano,9.2,11278,1999-04-04
The Sopranos,2,1,Guy Walks Into a Psychiatrist's Office,8.2,9368,2000-01-16
The Sopranos,2,2,Do Not Resuscitate,8.0,9082,2000-01-23
The Sopranos,2,3,Toodle-Fucking-Oo,8.4,9062,2000-01-30
The Sopranos,2,4,Commendatori,8.5,9764,2000-02-06
The Sopranos,2,5,Big Girls Don't Cry,8.4,8950,2000-02-13
The Sopranos,2,6,The Happy Wanderer,8.6,9103,2000-02-20
The Sopranos,2,7,D-Girl,8.7,9447,2000-02-27
The Sopranos,2,8,Full Leather Jacket,8.8,9238,2000-03-05
The Sopranos,2,9,From Where to Eternity,8.8,9253,2000-03-12
The Sopranos,2,10,Bust-Out,8.4,8510,2000-03-19
The Sopranos,2,11,House Arrest,8.1,8550,2000-03-26
The Sopranos,2,12,The Knight in White Satin Armor,9.3,11085,2000-04-02
The Sopranos,2,13,Funhouse,9.4,12121,2000-04-09
The Sopranos,3,1,Mr. Ruggerio's Neighborhood,8.6,9091,2001-03-04
The Sopranos,3,2,"Proshai, Livushka",8.6,9028,2001-03-04
The Sopranos,3,3,Fortunate Son,8.4,8365,2001-03-11
The Sopranos,3,4,Employee of the Month,9.1,10074,2001-03-18
The Sopranos,3,5,Another Toothpick,8.6,8602,2001-03-25
The Sopranos,3,6,University,8.7,9193,2001-04-01
The Sopranos,3,7,Second Opinion,8.3,8137,2001-04-08
The Sopranos,3,8,He Is Risen,8.3,8039,2001-04-15
The Sopranos,3,9,The Telltale Moozadell,8.0,8027,2001-04-22
The Sopranos,3,10,To Save Us All from Satan's Power,8.5,8238,2001-04-29
The Sopranos,3,11,Pine Barrens,9.7,19091,2001-05-06
The Sopranos,3,12,Amour Fou,9.2,9604,2001-05-13
The Sopranos,3,13,Army of One,9.0,9282,2001-05-20
The Sopranos,4,1,For All Debts Public and Private,8.2,8057,2002-09-15
The Sopranos,4,2,No Show,8.3,7851,2002-09-22
The Sopranos,4,3,Christopher,7.8,8385,2002-09-29
The Sopranos,4,4,The Weight,8.4,8021,2002-10-06
The Sopranos,4,5,Pie-o-My,8.0,7788,2002-10-13
The Sopranos,4,6,Everybody Hurts,8.4,7853,2002-10-20
The Sopranos,4,7,Watching Too Much Television,8.1,7623,2002-10-27
The Sopranos,4,8,Mergers and Acquisitions,8.1,7517,2002-11-03
The Sopranos,4,9,Whoever Did This,9.3,10331,2002-11-10
The Sopranos,4,10,"The Strong, Silent Type",8.9,8476,2002-11-17
The Sopranos,4,11,Calling All Cars,8.0,7511,2002-11-24
The Sopranos,4,12,Eloise,8.2,7502,2002-12-01
The Sopranos,4,13,Whitecaps,9.3,10677,2002-12-08
The Sopranos,5,1,Two Tonys,8.6,8020,2004-03-07
The Sopranos,5,2,Rat Pack,8.3,7451,2004-03-14
The Sopranos,5,3,Where's Johnny?,8.6,7838,2004-03-21
The Sopranos,5,4,All Happy Families,8.5,7568,2004-03-28
The Sopranos,5,5,Irregular Around the Margins,9.3,9672,2004-04-04
The Sopranos,5,6,Sentimental Education,8.1,7388,2004-04-11
The Sopranos,5,7,In Camelot,7.9,7672,2004-04-18
The Sopranos,5,8,Marco Polo,8.7,7924,2004-04-25
The Sopranos,5,9,Unidentified Black Males,8.8,7861,2004-05-02
The Sopranos,5,10,Cold Cuts,8.6,7786,2004-05-09
The Sopranos,5,11,The Test Dream,8.6,9700,2004-05-16
The Sopranos,5,12,Long Term Parking,9.7,13442,2004-05-23
The Sopranos,5,13,All Due Respect,9.3,9054,2004-06-06
The Sopranos,6,1,Members Only,9.2,9416,2006-03-12
The Sopranos,6,2,Join the Club,8.7,8755,2006-03-19
The Sopranos,6,3,Mayham,8.8,8617,2006-03-26
The Sopranos,6,4,The Fleshy Part of the Thigh,8.4,7617,2006-04-02
The Sopranos,6,5,Mr. & Mrs. John Sacrimoni Request,8.8,7936,2006-04-09
The Sopranos,6,6,Live Free or Die,8.5,7538,2006-04-16
The Sopranos,6,7,Luxury Lounge,8.1,7546,2006-04-23
The Sopranos,6,8,Johnny Cakes,8.3,7462,2006-04-30
The Sopranos,6,9,The Ride,8.3,7619,2006-05-07
The Sopranos,6,10,Moe n' Joe,8.0,7193,2006-05-14
The Sopranos,6,11,Cold Stones,8.7,7652,2006-05-21
The Sopranos,6,12,Kaisha,8.2,7361,2006-06-04
The Sopranos,6,13,Soprano Home Movies,9.1,9197,2007-04-08
The Sopranos,6,14,Stage 5,8.8,8072,2007-04-15
The Sopranos,6,15,Remember When,8.5,7687,2007-04-22
The Sopranos,6,16,Chasing It,7.8,7651,2007-04-29
The Sopranos,6,17,Walk Like a Man,8.9,8400,2007-05-06
The Sopranos,6,18,Kennedy and Heidi,9.2,10272,2007-05-13
The Sopranos,6,19,The Second Coming,9.3,9324,2007-05-20
The Sopranos,6,20,The Blue Comet,9.6,11647,2007-06-03
The Sopranos,6,21,Made in America,9.4,16046,2007-06-10
Blue Planet II,1,1,One Ocean,9.1,1655,2017-10-29
Blue Planet II,1,2,The Deep,9.1,1531,2017-11-05
Blue Planet II,1,3,Coral Reefs,9.0,1280,2017-11-12
Blue Planet II,1,4,Big Blue,8.8,1129,2017-11-19
Blue Planet II,1,5,Green Seas,8.9,1068,2017-11-26
Blue Planet II,1,6,Coasts,8.8,986,2017-12-03
Blue Planet II,1,7,Our Blue Planet,8.3,896,2017-12-10
Cosmos: A Spacetime Odyssey,1,1,Standing Up in the Milky Way,9.1,3682,2014-03-14
Cosmos: A Spacetime Odyssey,1,2,Some of the Things That Molecules Do,8.9,2808,2014-03-16
Cosmos: A Spacetime Odyssey,1,3,When Knowledge Conquered Fear,9.0,2552,2014-03-23
Cosmos: A Spacetime Odyssey,1,4,A Sky Full of Ghosts,9.0,2417,2014-03-30
Cosmos: A Spacetime Odyssey,1,5,Hiding in the Light,9.0,2160,2014-04-06
Cosmos: A Spacetime Odyssey,1,6,"Deeper, Deeper, Deeper Still",8.7,1932,2014-04-13
Cosmos: A Spacetime Odyssey,1,7,The Clean Room,8.8,1924,2014-04-20
Cosmos: A Spacetime Odyssey,1,8,Sisters of the Sun,8.9,1815,2014-04-27
Cosmos: A Spacetime Odyssey,1,9,The Lost Worlds of Planet Earth,9.0,1789,2014-05-04
Cosmos: A Spacetime Odyssey,1,10,The Electric Boy,9.1,1810,2014-05-11
Cosmos: A Spacetime Odyssey,1,11,The Immortals,9.0,1743,2014-05-18
Cosmos: A Spacetime Odyssey,1,12,The World Set Free,9.0,1656,2014-06-01
Cosmos: A Spacetime Odyssey,1,13,Unafraid of the Dark,9.4,1857,2014-06-08
Cosmos,1,1,The Shores of the Cosmic Ocean,8.9,886,1980-09-28
Cosmos,1,2,One Voice in the Cosmic Fugue,9.0,726,1980-10-05
Cosmos,1,3,Harmony of the Worlds,8.8,673,1980-10-12
Cosmos,1,4,Heaven and Hell,8.8,631,1980-10-19
Cosmos,1,5,Blues for a Red Planet,8.9,622,1980-10-26
Cosmos,1,6,Travellers' Tales,8.8,594,1980-11-02
Cosmos,1,7,The Backbone of Night,8.8,589,1980-11-09
Cosmos,1,8,Journeys in Space and Time,9.1,612,1980-11-16
Cosmos,1,9,The Lives of the Stars,9.0,578,1980-11-23
Cosmos,1,10,The Edge of Forever,9.0,584,1980-11-30
Cosmos,1,11,The Persistence of Memory,8.7,560,1980-12-07
Cosmos,1,12,Encyclopaedia Galactica,8.9,560,1980-12-14
Cosmos,1,13,Who Speaks for Earth?,9.0,573,1980-12-21
Our Planet,1,1,One Planet,9.0,2692,2019-04-05
Our Planet,1,2,Frozen Worlds,9.1,2328,2019-04-05
Our Planet,1,3,Jungles,9.1,2024,2019-04-05
Our Planet,1,4,Coastal Seas,8.8,1800,2019-04-05
Our Planet,1,5,From Deserts to Grasslands,8.8,1653,2019-04-05
Our Planet,1,6,The High Seas,9.0,1648,2019-04-05
Our Planet,1,7,Fresh Water,8.8,1518,2019-04-05
Our Planet,1,8,Forests,9.1,1603,2019-04-05
Our Planet,2,1,World on the Move,8.6,602,2023-06-14
Our Planet,2,2,Following the Sun,8.6,513,2023-06-14
Our Planet,2,3,The Next Generation,8.8,490,2023-06-14
Our Planet,2,4,Freedom to Roam,8.3,1681,2023-06-14
Game of Thrones,1,1,Winter Is Coming,8.9,61796,2011-05-08
Game of Thrones,1,2,The Kingsroad,8.6,46590,2011-05-15
Game of Thrones,1,3,Lord Snow,8.5,44098,2011-05-01
Game of Thrones,1,4,"Cripples, Bastards, and Broken Things",8.6,42009,2011-05-08
Game of Thrones,1,5,The Wolf and the Lion,9.0,43762,2011-05-15
Game of Thrones,1,6,A Golden Crown,9.1,43176,2011-05-22
Game of Thrones,1,7,You Win or You Die,9.1,43648,2011-05-29
Game of Thrones,1,8,The Pointy End,8.9,40941,2011-06-05
Game of Thrones,1,9,Baelor,9.6,57691,2011-06-12
Game of Thrones,1,10,Fire and Blood,9.4,50014,2011-06-19
Game of Thrones,2,1,The North Remembers,8.6,38667,2012-04-01
Game of Thrones,2,2,The Night Lands,8.3,36680,2012-04-08
Game of Thrones,2,3,What Is Dead May Never Die,8.7,36254,2012-04-15
Game of Thrones,2,4,Garden of Bones,8.6,35274,2012-04-22
Game of Thrones,2,5,The Ghost of Harrenhal,8.6,35453,2012-04-29
Game of Thrones,2,6,The Old Gods and the New,8.9,36936,2012-05-06
Game of Thrones,2,7,A Man Without Honor,8.8,35875,2012-05-13
Game of Thrones,2,8,The Prince of Winterfell,8.6,35354,2012-05-20
Game of Thrones,2,9,Blackwater,9.7,61925,2012-05-27
Game of Thrones,2,10,Valar Morghulis,9.3,42983,2012-06-03
Game of Thrones,3,1,Valar Dohaeris,8.6,37478,2013-03-31
Game of Thrones,3,2,"Dark Wings, Dark Words",8.4,34754,2013-04-07
Game of Thrones,3,3,Walk of Punishment,8.7,35170,2013-04-14
Game of Thrones,3,4,And Now His Watch Is Ended,9.5,47436,2013-04-21
Game of Thrones,3,5,Kissed by Fire,8.9,36443,2013-04-28
Game of Thrones,3,6,The Climb,8.7,35752,2013-05-05
Game of Thrones,3,7,The Bear and the Maiden Fair,8.6,34665,2013-05-12
Game of Thrones,3,8,Second Sons,8.9,35402,2013-05-19
Game of Thrones,3,9,The Rains of Castamere,9.9,131925,2013-06-02
Game of Thrones,3,10,Mhysa,9.1,39867,2013-06-09
Game of Thrones,4,1,Two Swords,9.0,43042,2014-04-06
Game of Thrones,4,2,The Lion and the Rose,9.7,67688,2014-04-13
Game of Thrones,4,3,Breaker of Chains,8.7,37550,2014-04-20
Game of Thrones,4,4,Oathkeeper,8.7,36221,2014-04-27
Game of Thrones,4,5,First of His Name,8.6,35520,2014-05-04
Game of Thrones,4,6,The Laws of Gods and Men,9.7,67077,2014-05-11
Game of Thrones,4,7,Mockingbird,9.0,39049,2014-05-18
Game of Thrones,4,8,The Mountain and the Viper,9.7,67509,2014-06-01
Game of Thrones,4,9,The Watchers on the Wall,9.6,60433,2014-06-08
Game of Thrones,4,10,The Children,9.7,58607,2014-06-15
Game of Thrones,5,1,The Wars to Come,8.3,37411,2015-04-12
Game of Thrones,5,2,The House of Black and White,8.3,34185,2015-04-19
Game of Thrones,5,3,High Sparrow,8.3,33249,2015-04-26
Game of Thrones,5,4,Sons of the Harpy,8.5,34025,2015-05-03
Game of Thrones,5,5,Kill the Boy,8.5,34173,2015-05-10
Game of Thrones,5,6,"Unbowed, Unbent, Unbroken",7.9,38272,2015-05-17
Game of Thrones,5,7,The Gift,8.8,36553,2015-05-24
Game of Thrones,5,8,Hardhome,9.8,116296,2015-05-31
Game of Thrones,5,9,The Dance of Dragons,9.4,52919,2015-06-07
Game of Thrones,5,10,Mother's Mercy,9.1,51748,2015-06-14
Game of Thrones,6,1,The Red Woman,8.4,47159,2016-04-24
Game of Thrones,6,2,Home,9.2,54676,2016-05-01
Game of Thrones,6,3,Oathbreaker,8.6,41466,2016-05-08
Game of Thrones,6,4,Book of the Stranger,9.0,44323,2016-05-15
Game of Thrones,6,5,The Door,9.7,85141,2016-05-22
Game of Thrones,6,6,Blood of My Blood,8.3,40768,2016-05-29
Game of Thrones,6,7,The Broken Man,8.5,39981,2016-06-05
Game of Thrones,6,8,No One,8.3,44346,2016-06-12
Game of Thrones,6,9,Battle of the Bastards,9.9,241243,2016-06-19
